"";"texas.income";"texas.income4";"texas.income8";"texas.Tax_Brackets";"texas.race";"texas.Race";"texas.educ";"texas.Native";"texas.Sex";"income";"income4";"income8";"Tax_Brackets";"race";"Race";"educ";"Native";"Sex"
"1";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"2";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Bachelor's degree";"Native born";"Male";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Bachelor's degree";"Native born";"Male"
"3";"$12.5 to $14.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Female";"$12.5 to $14.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Female"
"4";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"5";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Did not finished high school";"Foreign born";"Female";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Did not finished high school";"Foreign born";"Female"
"6";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Did not finished high school";"Foreign born";"Male";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Did not finished high school";"Foreign born";"Male"
"7";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Male"
"8";"$15 to $19.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"White";"White";"Bachelor's degree";"Native born";"Female";"$15 to $19.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"White";"White";"Bachelor's degree";"Native born";"Female"
"9";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"10";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male"
"11";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Male"
"12";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female"
"13";"$12.5 to $14.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Female";"$12.5 to $14.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Female"
"14";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"15";"$25 to $29.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$25 to $29.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"16";"$15 to $19.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Female";"$15 to $19.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Female"
"17";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"18";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"19";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Did not finished high school";"Native born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Did not finished high school";"Native born";"Female"
"20";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female"
"21";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male"
"22";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Female";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Female"
"23";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Male";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Male"
"24";"$30 to $34.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female";"$30 to $34.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female"
"25";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female"
"26";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Male";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Male"
"27";"$15 to $19.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Female";"$15 to $19.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Female"
"28";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Bachelor's degree";"Native born";"Female";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Bachelor's degree";"Native born";"Female"
"29";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Graduate School";"Native born";"Male";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Graduate School";"Native born";"Male"
"30";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"31";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female"
"32";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Bachelor's degree";"Native born";"Male";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Bachelor's degree";"Native born";"Male"
"33";"$15 to $19.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Male";"$15 to $19.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Male"
"34";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"Minorities";"Mixed Race";"High school graduate";"Native born";"Female";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"Minorities";"Mixed Race";"High school graduate";"Native born";"Female"
"35";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"36";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female"
"37";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Native born";"Male";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Native born";"Male"
"38";"$15 to $19.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"White";"White";"Did not finished high school";"Native born";"Male";"$15 to $19.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"White";"White";"Did not finished high school";"Native born";"Male"
"39";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female"
"40";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Male"
"41";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"42";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Associate degree";"Native born";"Female";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Associate degree";"Native born";"Female"
"43";"$30 to $34.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female";"$30 to $34.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female"
"44";"$12.5 to $14.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Female";"$12.5 to $14.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Female"
"45";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"46";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Native born";"Male";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Native born";"Male"
"47";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Male";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Male"
"48";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female"
"49";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female"
"50";"$25 to $29.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Male";"$25 to $29.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Male"
"51";"$25 to $29.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Female";"$25 to $29.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Female"
"52";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Male";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Male"
"53";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female"
"54";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"55";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"56";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female"
"57";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female"
"58";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"59";"$30 to $34.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female";"$30 to $34.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female"
"60";"$30 to $34.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$30 to $34.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"61";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female"
"62";"$10 to $12.49";"Less than $12,499";"$7.5 to $12.49";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Male";"$10 to $12.49";"Less than $12,499";"$7.5 to $12.49";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Male"
"63";"$10 to $12.49";"Less than $12,499";"$7.5 to $12.49";"Up to $19,999";"White";"White";"Did not finished high school";"Foreign born";"Male";"$10 to $12.49";"Less than $12,499";"$7.5 to $12.49";"Up to $19,999";"White";"White";"Did not finished high school";"Foreign born";"Male"
"64";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"65";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female"
"66";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female"
"67";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female"
"68";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female"
"69";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Female";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Female"
"70";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Mixed Race";"Did not finished high school";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Mixed Race";"Did not finished high school";"Native born";"Male"
"71";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female"
"72";"<$5";"Less than $12,499";"<$7.9";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Female";"<$5";"Less than $12,499";"<$7.9";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Female"
"73";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"74";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female"
"75";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Associate degree";"Native born";"Male";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Associate degree";"Native born";"Male"
"76";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Associate degree";"Foreign born";"Female";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Associate degree";"Foreign born";"Female"
"77";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female"
"78";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Female";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Female"
"79";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"80";"<$5";"Less than $12,499";"<$7.9";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Female";"<$5";"Less than $12,499";"<$7.9";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Female"
"81";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Native born";"Male";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Native born";"Male"
"82";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Male";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Male"
"83";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Female";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Female"
"84";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"Associate degree";"Native born";"Male";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"Associate degree";"Native born";"Male"
"85";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"Associate degree";"Native born";"Female";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"Associate degree";"Native born";"Female"
"86";"$7.5 to $9.9";"Less than $12,499";"$7.5 to $12.49";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Male";"$7.5 to $9.9";"Less than $12,499";"$7.5 to $12.49";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Male"
"87";"$7.5 to $9.9";"Less than $12,499";"$7.5 to $12.49";"Up to $19,999";"White";"White";"Did not finished high school";"Foreign born";"Female";"$7.5 to $9.9";"Less than $12,499";"$7.5 to $12.49";"Up to $19,999";"White";"White";"Did not finished high school";"Foreign born";"Female"
"88";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"89";"$30 to $34.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female";"$30 to $34.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female"
"90";"$30 to $34.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Native born";"Male";"$30 to $34.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Native born";"Male"
"91";"$10 to $12.49";"Less than $12,499";"$7.5 to $12.49";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Female";"$10 to $12.49";"Less than $12,499";"$7.5 to $12.49";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Female"
"92";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Native born";"Female";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Native born";"Female"
"93";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Male";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Male"
"94";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"95";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female"
"96";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"Bachelor's degree";"Native born";"Female";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"Bachelor's degree";"Native born";"Female"
"97";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female"
"98";"$30 to $34.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female";"$30 to $34.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female"
"99";"$30 to $34.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$30 to $34.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"100";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Female"
"101";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Male"
"102";"$25 to $29.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Native born";"Male";"$25 to $29.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Native born";"Male"
"103";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Associate degree";"Native born";"Female";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Associate degree";"Native born";"Female"
"104";"$25 to $29.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$25 to $29.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"105";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Native born";"Female";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Native born";"Female"
"106";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"Minorities";"Black";"High school graduate";"Native born";"Female";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"Minorities";"Black";"High school graduate";"Native born";"Female"
