"";"california.income";"california.income4";"california.income8";"california.Tax_Brackets";"california.race";"california.Race";"california.educ";"california.Native";"california.Sex";"income";"income4";"income8";"Tax_Brackets";"race";"Race";"educ";"Native";"Sex"
"7063";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Asian & Pacific Islander";"Bachelor's degree";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Asian & Pacific Islander";"Bachelor's degree";"Native born";"Male"
"7064";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Asian & Pacific Islander";"Bachelor's degree";"Foreign born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Asian & Pacific Islander";"Bachelor's degree";"Foreign born";"Male"
"7065";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Foreign born";"Female";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Foreign born";"Female"
"7066";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Bachelor's degree";"Foreign born";"Female";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Bachelor's degree";"Foreign born";"Female"
"7067";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"7068";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female"
"7069";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Asian & Pacific Islander";"Graduate School";"Foreign born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Asian & Pacific Islander";"Graduate School";"Foreign born";"Female"
"7070";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Asian & Pacific Islander";"Bachelor's degree";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Asian & Pacific Islander";"Bachelor's degree";"Native born";"Male"
"7071";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Asian & Pacific Islander";"Associate degree";"Foreign born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Asian & Pacific Islander";"Associate degree";"Foreign born";"Female"
"7072";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Male"
